"V1","nationalGridBmUnit","elexonBmUnit","eic","fuelType","leadPartyName","bmUnitType","fpnFlag","bmUnitName","leadPartyId","demandCapacity","generationCapacity","productionOrConsumptionFlag","transmissionLossFactor","workingDayCreditAssessmentImportCapability","nonWorkingDayCreditAssessmentImportCapability","workingDayCreditAssessmentExportCapability","nonWorkingDayCreditAssessmentExportCapability","creditQualifyingStatus","demandInProductionFlag","gspGroupId","gspGroupName","interconnectorId","capacity_alt","diff_cap","capacity"
210,"VKNGW-2","T_VKNGW-2","48W00000VKNGW-22","WIND","Viking Energy Wind Farm LLP","T",TRUE,"Viking Energy Windfarm BMU-2","VIKING",-3,121.8,"P",-0.030134,-1.2,-1.2,48.72,48.72,TRUE,FALSE,NA,NA,NA,105,16.8,105
211,"VKNGW-3","T_VKNGW-3","48W00000VKNGW-30","WIND","Viking Energy Wind Farm LLP","T",TRUE,"Viking Energy Windfarm BMU-3","VIKING",-3,121.8,"P",-0.030134,-1.2,-1.2,48.72,48.72,TRUE,FALSE,NA,NA,NA,105,16.8,105
212,"VKNGW-4","T_VKNGW-4","48W00000VKNGW-4Z","WIND","Viking Energy Wind Farm LLP","T",TRUE,"Viking Energy Windfarm BMU-4","VIKING",-3,121.8,"P",-0.030134,-1.2,-1.2,48.72,48.72,TRUE,FALSE,NA,NA,NA,109,12.8,109
213,"WDNSO-1","T_WDNSO-1","48W00000WDNSO-1H","WIND","Morecambe Wind Limited","T",TRUE,"West of Duddon Sands Offshore1","MWLWODS1",-5,197,"P",-0.0048159,-2,-2,78.8,78.8,TRUE,FALSE,NA,NA,NA,192,5,197
214,"WDNSO-2","T_WDNSO-2","48W00000WDNSO-2F","WIND","Morecambe Wind Limited","T",TRUE,"West of Duddon Sands Offshore2","MWLWODS1",-5,201,"P",-0.0048159,-2,-2,80.4,80.4,TRUE,FALSE,NA,NA,NA,192,9,201
215,"WDRGW-1","T_WDRGW-1",NA,"WIND","Windy Rig Wind Farm Limited","T",TRUE,"Windy Rig Wind Farm","WINDYRIG",-0.76,42.8,"P",-0.0088069,-0.304,-0.304,17.12,17.12,TRUE,FALSE,NA,NA,NA,43,0.200000000000003,42.8
216,"WHIHW-1","T_WHIHW-1","48W00000WHIHW-15","WIND","Whiteside Hill","T",TRUE,"Whiteside Hill WF","WHWF1985",-0.1,27.52,"P",-0.0088069,-0.04,-0.04,11.008,11.008,TRUE,FALSE,NA,NA,NA,26,1.52,27.52
217,"WHILW-1","T_WHILW-1","48W00000WHILW-1M","WIND","SP Renewables (UK) Limited","T",TRUE,"T_WHILW-1","SPCRE01",-10,309,"P",-0.0088069,-4,-4,123.6,123.6,TRUE,FALSE,NA,NA,NA,303,6,309
218,"WHILW-2","T_WHILW-2","48W00000WHILW-2K","WIND","SP Renewables (UK) Limited","T",TRUE,"Whitelee Extension","SPCRE01",-3.5,206,"P",-0.0088069,-1.4,-1.4,82.4,82.4,TRUE,FALSE,NA,NA,NA,190,16,206
219,"WISTW-2","T_WISTW-2",NA,"WIND","BROCKLOCH RIG WINDFARM LTD","T",TRUE,"Brockloch Rig 2 WF Exp A","BRWLTD",-0.336,61.5,"P",-0.0088069,-0.134,-0.134,24.6,24.6,TRUE,FALSE,NA,NA,NA,62,0.5,61.5
220,"WLNYO-2","T_WLNYO-2","48W00000WLNYO-23","WIND","Walney Offshore Windfarms Ltd","T",TRUE,"WALNEY_2","DONG003",-2.886,183.6,"P",-0.0048159,-1.154,-1.154,73.44,73.44,TRUE,FALSE,NA,NA,NA,177,6.59999999999999,183.6
221,"WLNYO-3","T_WLNYO-3","48W00000WLNYO-31","WIND","Walney Extension Ltd","T",TRUE,"WALNEY_3","DONG012",-3,330,"P",-0.0048159,-1.2,-1.2,132,132,TRUE,FALSE,NA,NA,NA,320,10,330
222,"WLNYO-4","T_WLNYO-4","48W00000WLNYO-4-","WIND","Walney Extension Ltd","T",TRUE,"WALNEY_4","DONG012",-6.651,330,"P",-0.0048159,-2.66,-2.66,132,132,TRUE,FALSE,NA,NA,NA,329,1,330
223,"WLNYO-4","T_WLNYO-4","48W00001WLNYO-4R","WIND","Walney Extension Ltd","T",TRUE,"WALNEY_4","DONG012",-6.651,330,"P",-0.0048159,-2.66,-2.66,132,132,TRUE,FALSE,NA,NA,NA,329,1,330
224,"WLNYW-1","T_WLNYW-1","48W00000WLNYW-1A","WIND","Walney Offshore Windfarms Ltd","T",TRUE,"WALNEY_1","DONG003",-2,182,"P",-0.0048159,-0.8,-0.8,72.8,72.8,TRUE,FALSE,NA,NA,NA,174,8,182
225,"WTMSO-1","T_WTMSO-1","48W00000WTMSO-1M","WIND","Westermost Rough Limited","T",TRUE,"WESTERMOST_ROUGH","DONG008",-40,205,"P",-0.0051169,-16,-16,82,82,TRUE,FALSE,NA,NA,NA,206,1,205
